,Customer ID,Age,Gender,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Payment Method,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases
108,109,70,Male,Clothing,79,L,Purple,Spring,3.4,Yes,Bank Transfer,Yes,Yes,32,Bi-Weekly
109,110,58,Male,Clothing,85,M,Violet,Spring,2.6,Yes,Cash,Yes,Yes,43,Fortnightly
110,111,56,Male,Accessories,26,M,Black,Summer,4.0,Yes,Bank Transfer,Yes,Yes,26,Fortnightly
111,112,26,Male,Accessories,75,L,Purple,Summer,5.0,Yes,PayPal,Yes,Yes,9,Annually
112,113,37,Male,Accessories,65,M,Red,Spring,4.3,Yes,Credit Card,Yes,Yes,28,Bi-Weekly
113,114,44,Male,Accessories,54,L,Maroon,Winter,3.1,Yes,Debit Card,Yes,Yes,20,Quarterly
114,115,70,Male,Outerwear,95,S,Blue,Summer,3.7,Yes,Venmo,Yes,Yes,9,Weekly
115,116,53,Male,Clothing,94,M,Gray,Spring,3.8,Yes,Cash,Yes,Yes,48,Every 3 Months
116,117,55,Male,Footwear,86,S,Blue,Spring,3.4,Yes,PayPal,Yes,Yes,12,Annually
117,118,50,Male,Footwear,32,L,Yellow,Summer,4.6,Yes,Bank Transfer,Yes,Yes,29,Fortnightly
118,119,50,Male,Clothing,45,L,Orange,Fall,4.8,Yes,Bank Transfer,Yes,Yes,27,Bi-Weekly
119,120,38,Male,Outerwear,76,M,Orange,Fall,4.3,Yes,Debit Card,Yes,Yes,44,Annually
120,121,64,Male,Accessories,84,L,Red,Summer,4.0,Yes,PayPal,Yes,Yes,32,Annually
121,122,19,Male,Clothing,72,M,Olive,Winter,4.2,Yes,Cash,Yes,Yes,11,Fortnightly
122,123,40,Male,Accessories,40,L,Brown,Spring,4.8,Yes,Credit Card,Yes,Yes,44,Fortnightly
123,124,57,Male,Clothing,89,L,Brown,Fall,3.1,Yes,Debit Card,Yes,Yes,46,Weekly
124,125,44,Male,Clothing,86,M,Gray,Spring,3.1,Yes,PayPal,Yes,Yes,50,Annually
125,126,49,Male,Clothing,54,M,Indigo,Winter,3.6,Yes,Cash,Yes,Yes,45,Every 3 Months
126,127,43,Male,Clothing,36,L,Pink,Spring,3.9,Yes,Bank Transfer,Yes,Yes,48,Every 3 Months
127,128,24,Male,Clothing,89,M,Gray,Winter,4.8,Yes,Venmo,Yes,Yes,26,Weekly
128,129,20,Male,Accessories,32,M,Gold,Spring,4.7,Yes,Venmo,Yes,Yes,21,Fortnightly
129,130,24,Male,Clothing,67,XL,Olive,Summer,4.2,Yes,Cash,Yes,Yes,49,Bi-Weekly
130,131,44,Male,Accessories,39,L,Violet,Fall,3.7,Yes,Credit Card,Yes,Yes,13,Fortnightly
131,132,28,Male,Clothing,29,L,Indigo,Summer,3.9,Yes,PayPal,Yes,Yes,46,Weekly
132,133,30,Male,Accessories,58,M,Orange,Fall,4.7,Yes,Bank Transfer,Yes,Yes,42,Weekly
133,134,52,Male,Clothing,65,M,Violet,Winter,2.5,Yes,Bank Transfer,Yes,Yes,25,Annually
134,135,43,Male,Accessories,94,L,Gray,Fall,4.9,Yes,Credit Card,Yes,Yes,25,Monthly
135,136,43,Male,Footwear,81,M,Purple,Fall,4.1,Yes,PayPal,Yes,Yes,12,Quarterly
136,137,39,Male,Clothing,86,M,White,Winter,3.3,Yes,Credit Card,Yes,Yes,4,Quarterly
137,138,68,Male,Footwear,43,M,Turquoise,Spring,4.7,Yes,Cash,Yes,Yes,38,Weekly
138,139,68,Male,Clothing,29,M,Maroon,Winter,4.4,Yes,Cash,Yes,Yes,42,Weekly
139,140,49,Male,Outerwear,95,M,White,Fall,3.8,Yes,Debit Card,Yes,Yes,30,Annually
140,141,63,Male,Clothing,28,L,Yellow,Fall,3.9,Yes,Bank Transfer,Yes,Yes,50,Weekly
141,142,56,Male,Accessories,46,M,Turquoise,Fall,4.9,Yes,PayPal,Yes,Yes,45,Weekly
142,143,37,Male,Outerwear,58,L,Violet,Fall,3.1,Yes,PayPal,Yes,Yes,33,Fortnightly
143,144,30,Male,Outerwear,48,M,Beige,Fall,2.7,Yes,Bank Transfer,Yes,Yes,25,Quarterly
144,145,19,Male,Footwear,43,M,Silver,Fall,3.2,Yes,Credit Card,Yes,Yes,25,Monthly
145,146,24,Male,Accessories,95,M,Teal,Fall,4.5,Yes,Venmo,Yes,Yes,44,Quarterly
146,147,52,Male,Clothing,30,S,Black,Fall,4.0,Yes,Debit Card,Yes,Yes,21,Fortnightly
147,148,63,Male,Footwear,64,M,Purple,Summer,3.5,Yes,Bank Transfer,Yes,Yes,31,Fortnightly
148,149,37,Male,Accessories,90,M,Gray,Fall,2.6,Yes,PayPal,Yes,Yes,47,Annually
149,150,38,Male,Clothing,76,M,White,Summer,3.2,Yes,Venmo,Yes,Yes,14,Monthly
150,151,35,Male,Footwear,96,L,Cyan,Fall,4.9,Yes,Bank Transfer,Yes,Yes,17,Every 3 Months
151,152,28,Male,Accessories,47,L,Turquoise,Fall,4.5,Yes,Debit Card,Yes,Yes,3,Annually
152,153,30,Male,Clothing,85,S,Brown,Summer,4.3,Yes,PayPal,Yes,Yes,42,Annually
153,154,69,Male,Clothing,55,M,Maroon,Winter,3.2,Yes,Debit Card,Yes,Yes,22,Annually
154,155,41,Male,Clothing,98,M,Charcoal,Fall,3.6,Yes,Debit Card,Yes,Yes,21,Quarterly
155,156,63,Male,Clothing,77,S,Olive,Spring,4.3,Yes,Cash,Yes,Yes,21,Quarterly
156,157,35,Male,Clothing,26,M,Lavender,Fall,4.0,Yes,Venmo,Yes,Yes,40,Annually
157,158,36,Male,Accessories,68,S,Yellow,Fall,3.0,Yes,Debit Card,Yes,Yes,1,Fortnightly
158,159,25,Male,Clothing,73,XL,Teal,Fall,4.1,Yes,Bank Transfer,Yes,Yes,50,Monthly
159,160,58,Male,Accessories,27,M,Charcoal,Fall,3.8,Yes,Debit Card,Yes,Yes,39,Every 3 Months
160,161,27,Male,Accessories,23,M,Orange,Summer,4.6,Yes,Bank Transfer,Yes,Yes,34,Monthly
161,162,65,Male,Accessories,49,M,Olive,Fall,3.0,Yes,Venmo,Yes,Yes,29,Fortnightly
162,163,54,Male,Accessories,74,M,Turquoise,Summer,3.0,Yes,Credit Card,Yes,Yes,31,Bi-Weekly
163,164,54,Male,Clothing,67,M,Purple,Summer,3.4,Yes,PayPal,Yes,Yes,8,Weekly
164,165,59,Male,Accessories,65,S,Purple,Spring,2.6,Yes,Debit Card,Yes,Yes,5,Fortnightly
165,166,42,Male,Accessories,60,S,Yellow,Winter,2.8,Yes,Credit Card,Yes,Yes,7,Monthly
166,167,46,Male,Footwear,31,XL,Indigo,Fall,4.0,Yes,Cash,Yes,Yes,30,Monthly
167,168,33,Male,Accessories,27,M,Green,Fall,4.0,Yes,Venmo,Yes,Yes,14,Every 3 Months
168,169,34,Male,Footwear,80,M,Magenta,Summer,3.0,Yes,Bank Transfer,Yes,Yes,5,Fortnightly
169,170,27,Male,Outerwear,30,S,Gold,Summer,3.3,Yes,Credit Card,Yes,Yes,3,Every 3 Months
170,171,52,Male,Clothing,25,M,Maroon,Fall,2.6,Yes,Venmo,Yes,Yes,46,Bi-Weekly
171,172,29,Male,Clothing,35,M,Blue,Summer,3.6,Yes,Debit Card,Yes,Yes,4,Weekly
172,173,54,Male,Accessories,67,M,Violet,Summer,3.9,Yes,Bank Transfer,Yes,Yes,42,Bi-Weekly
173,174,25,Male,Accessories,46,M,Turquoise,Fall,3.4,Yes,PayPal,Yes,Yes,30,Annually
174,175,41,Male,Footwear,35,L,Brown,Winter,3.5,Yes,Venmo,Yes,Yes,37,Annually
175,176,53,Male,Outerwear,86,L,Violet,Fall,2.8,Yes,Debit Card,Yes,Yes,2,Annually
176,177,53,Male,Accessories,81,L,Black,Spring,2.7,Yes,Bank Transfer,Yes,Yes,30,Quarterly
177,178,21,Male,Clothing,42,L,Magenta,Fall,3.7,Yes,Debit Card,Yes,Yes,47,Monthly
178,179,61,Male,Clothing,43,L,Lavender,Fall,4.3,Yes,Debit Card,Yes,Yes,21,Quarterly
179,180,64,Male,Footwear,31,M,Violet,Fall,4.9,Yes,Debit Card,Yes,Yes,9,Fortnightly
180,181,51,Male,Footwear,81,L,Green,Fall,3.3,Yes,Cash,Yes,Yes,12,Fortnightly
181,182,32,Male,Clothing,61,M,Beige,Summer,4.7,Yes,Venmo,Yes,Yes,4,Weekly
182,183,38,Male,Accessories,96,XL,Purple,Summer,2.8,Yes,Venmo,Yes,Yes,10,Annually
183,184,58,Male,Clothing,29,XL,Beige,Spring,3.6,Yes,Bank Transfer,Yes,Yes,26,Weekly
184,185,32,Male,Footwear,33,L,Cyan,Spring,3.0,Yes,Cash,Yes,Yes,40,Fortnightly
185,186,46,Male,Clothing,32,XL,Silver,Summer,4.5,Yes,Bank Transfer,Yes,Yes,34,Fortnightly
186,187,39,Male,Accessories,56,S,Lavender,Summer,2.9,Yes,Debit Card,Yes,Yes,31,Annually
187,188,19,Male,Footwear,94,S,Purple,Spring,3.3,Yes,Credit Card,Yes,Yes,1,Bi-Weekly
188,189,50,Male,Clothing,53,M,Pink,Spring,3.1,Yes,Credit Card,Yes,Yes,5,Bi-Weekly
189,190,36,Male,Clothing,82,M,Maroon,Fall,4.4,Yes,Venmo,Yes,Yes,4,Weekly
190,191,65,Male,Outerwear,70,XL,Beige,Fall,3.0,Yes,Venmo,Yes,Yes,48,Quarterly
191,192,64,Male,Accessories,76,M,Gray,Fall,3.9,Yes,Credit Card,Yes,Yes,29,Every 3 Months
192,193,46,Male,Footwear,29,L,Turquoise,Summer,2.9,Yes,Venmo,Yes,Yes,12,Bi-Weekly
193,194,36,Male,Accessories,100,S,Silver,Fall,3.0,Yes,PayPal,Yes,Yes,29,Annually
194,195,51,Male,Accessories,94,M,Olive,Spring,3.1,Yes,Venmo,Yes,Yes,15,Quarterly
195,196,51,Male,Outerwear,25,M,Magenta,Fall,4.3,Yes,Credit Card,Yes,Yes,34,Monthly
196,197,38,Male,Footwear,88,M,Lavender,Summer,3.9,Yes,Cash,Yes,Yes,41,Fortnightly
197,198,59,Male,Accessories,78,M,Black,Fall,3.2,Yes,Debit Card,Yes,Yes,41,Monthly
198,199,57,Male,Accessories,45,M,Turquoise,Winter,4.8,Yes,Cash,Yes,Yes,39,Fortnightly
199,200,54,Male,Accessories,73,XL,Green,Summer,3.8,Yes,Debit Card,Yes,Yes,32,Weekly
200,201,25,Male,Clothing,61,S,Teal,Summer,3.3,Yes,PayPal,Yes,Yes,29,Monthly
201,202,69,Male,Clothing,22,S,Beige,Fall,4.3,Yes,Bank Transfer,Yes,Yes,15,Annually
202,203,57,Male,Accessories,38,L,Magenta,Spring,2.7,Yes,Bank Transfer,Yes,Yes,33,Annually
203,204,70,Male,Accessories,38,S,Yellow,Fall,3.2,Yes,PayPal,Yes,Yes,18,Weekly
204,205,24,Male,Footwear,100,M,Yellow,Fall,4.0,Yes,PayPal,Yes,Yes,35,Bi-Weekly
205,206,67,Male,Clothing,64,M,Silver,Winter,3.0,Yes,Bank Transfer,Yes,Yes,25,Weekly
206,207,24,Male,Clothing,55,L,Silver,Summer,4.2,Yes,Venmo,Yes,Yes,6,Fortnightly
207,208,62,Male,Accessories,91,M,Silver,Summer,2.9,Yes,Venmo,Yes,Yes,17,Bi-Weekly
208,209,57,Male,Clothing,38,M,Gold,Spring,4.1,Yes,Cash,Yes,Yes,17,Monthly
209,210,55,Male,Footwear,97,S,Olive,Winter,3.2,Yes,Bank Transfer,Yes,Yes,44,Every 3 Months
210,211,45,Male,Outerwear,22,L,Teal,Fall,3.0,Yes,Venmo,Yes,Yes,6,Fortnightly
211,212,69,Male,Clothing,92,L,Maroon,Fall,4.2,Yes,Venmo,Yes,Yes,45,Fortnightly
212,213,67,Male,Accessories,84,L,Blue,Fall,4.2,Yes,Venmo,Yes,Yes,7,Annually
213,214,30,Male,Accessories,93,L,Peach,Fall,4.4,Yes,Cash,Yes,Yes,11,Every 3 Months
214,215,24,Male,Outerwear,50,L,Blue,Summer,4.2,Yes,Cash,Yes,Yes,41,Every 3 Months
215,216,62,Male,Accessories,64,S,Orange,Spring,2.8,Yes,Bank Transfer,Yes,Yes,24,Bi-Weekly
216,217,43,Male,Clothing,61,L,Yellow,Spring,3.7,Yes,Cash,Yes,Yes,21,Weekly
217,218,35,Male,Accessories,48,M,Purple,Winter,3.5,Yes,Venmo,Yes,Yes,24,Annually
218,219,28,Male,Clothing,45,S,Magenta,Spring,2.9,Yes,Credit Card,Yes,Yes,8,Quarterly
219,220,32,Male,Accessories,88,M,Cyan,Spring,3.0,Yes,Venmo,Yes,Yes,12,Fortnightly
220,221,39,Male,Footwear,57,S,Indigo,Spring,3.7,Yes,Debit Card,Yes,Yes,48,Fortnightly
221,222,28,Male,Accessories,68,XL,Magenta,Summer,4.4,Yes,Debit Card,Yes,Yes,6,Quarterly
222,223,47,Male,Accessories,94,XL,Gray,Spring,4.5,Yes,Venmo,Yes,Yes,14,Fortnightly
223,224,20,Male,Clothing,41,M,Turquoise,Spring,4.8,Yes,Venmo,Yes,Yes,34,Annually
224,225,63,Male,Clothing,83,S,Beige,Summer,2.9,Yes,PayPal,Yes,Yes,12,Every 3 Months
225,226,25,Male,Outerwear,22,M,Olive,Spring,3.2,Yes,Debit Card,Yes,Yes,11,Annually
226,227,29,Male,Footwear,74,L,Violet,Spring,3.3,Yes,Cash,Yes,Yes,5,Monthly
227,228,50,Male,Clothing,90,M,Turquoise,Winter,4.2,Yes,Venmo,Yes,Yes,25,Fortnightly
228,229,18,Male,Clothing,79,M,White,Spring,2.9,Yes,Credit Card,Yes,Yes,11,Annually
229,230,70,Male,Footwear,28,S,Silver,Spring,4.6,Yes,Cash,Yes,Yes,27,Every 3 Months
230,231,66,Male,Accessories,88,L,Olive,Fall,4.1,Yes,Venmo,Yes,Yes,43,Annually
231,232,28,Male,Clothing,26,M,Blue,Spring,3.1,Yes,Bank Transfer,Yes,Yes,18,Every 3 Months
232,233,54,Male,Accessories,27,L,Purple,Winter,4.2,Yes,Bank Transfer,Yes,Yes,32,Bi-Weekly
233,234,19,Male,Clothing,83,XL,Yellow,Fall,4.5,Yes,PayPal,Yes,Yes,27,Every 3 Months
234,235,20,Male,Accessories,39,S,Silver,Summer,3.7,Yes,PayPal,Yes,Yes,24,Weekly
235,236,43,Male,Accessories,89,M,Cyan,Winter,3.7,Yes,Cash,Yes,Yes,31,Quarterly
236,237,38,Male,Outerwear,68,L,Green,Winter,3.4,Yes,Debit Card,Yes,Yes,39,Fortnightly
237,238,50,Male,Clothing,90,M,Beige,Summer,3.0,Yes,Venmo,Yes,Yes,36,Fortnightly
238,239,64,Male,Clothing,34,M,Peach,Fall,4.2,Yes,Debit Card,Yes,Yes,5,Annually
239,240,49,Male,Clothing,51,L,Yellow,Summer,2.9,Yes,PayPal,Yes,Yes,47,Bi-Weekly
240,241,47,Male,Clothing,45,XL,Turquoise,Winter,3.5,Yes,Credit Card,Yes,Yes,29,Fortnightly
241,242,36,Male,Clothing,88,M,Peach,Winter,4.1,Yes,PayPal,Yes,Yes,43,Bi-Weekly
242,243,55,Male,Outerwear,85,L,Gray,Summer,4.3,Yes,Credit Card,Yes,Yes,40,Every 3 Months
243,244,25,Male,Accessories,100,M,Olive,Winter,2.8,Yes,Credit Card,Yes,Yes,4,Monthly
244,245,53,Male,Accessories,42,S,Indigo,Spring,4.9,Yes,Debit Card,Yes,Yes,39,Weekly
